Company Name,Company Name for Emails,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Twitter Url,Company Street,Company City,Company State,Company Country,Company Postal Code,Company Address,Keywords,Company Phone,Technologies,Total Funding,Latest Funding,Latest Funding Amount,Last Raised At,Annual Revenue,Number of Retail Locations,Apollo Account Id,SIC Codes,NAICS Codes,Short Description,Founded Year,Logo Url,Subsidiary of,Primary Intent Topic,Primary Intent Score,Secondary Intent Topic,Secondary Intent Score,Final Analysis of Qualification 3345,Prerequisite: Research Target Company,Assign as B2B or B2C 4355,Know if a company had executive changes 6825,Determine research guidelines 6759,Research target company 5822,E-Commerce Platform,Qualify Account,Prerequisite: Determine Research Guidelines,Column 1,Column 2
LifePort,LifePort,250,airlines/aviation,http://www.lifeport.com,http://www.linkedin.com/company/lifeport,,,,,,,,,"aerospace interior components, vip interiors, multihit armor solutions, air medical transport systems, aircraft seating, innovation, engineering, rotor wing, fixed wing, aviation, vip cabinetry, flooring, galley, operator consoles, stacking litter systems, transparent armor, advanced life support, 3d printing, airlines & aviation, manufacturing, marine and maritime security, advanced composites, medical seating, military and law enforcement, patient loading system, aerospace and defense, mission-critical, aircraft galleys, aerospace solutions, marine ballistic protection, medical equipment and supplies, product development, lightweight materials, military aircraft solutions, quality management, custom aircraft interiors, adhesives, aircraft interiors, multi-mission aircraft, services, custom cabinetry, ground vehicle armor, b2b, ballistic protection systems, vip seating, air medical, advanced materials, ballistic protection, composite panels, design, law enforcement aerospace, aircraft flooring, certified aerospace products, mission-driven products, integration, vacuum canister liners, aerospace oems, safety, aerospace product and parts manufacturing, supply chain management, safety standards, panel pins, air ambulance, government, certification, healthcare, defense, aerospace, military, ground_vehicle, marine, airlines/aviation, aviation & aerospace, mechanical or industrial engineering, material science, logistics & supply chain, health care, health, wellness & fitness, hospital & health care",+1 360-225-1212,"Cloudflare DNS, Outlook, Microsoft Office 365, InfusionSoft, Google Tag Manager, Shopify, Mobile Friendly, Google Analytics, Remote",,,,,65000000,,68c19ef153185b0001bac542,3721,33641,"LifePort is a global leader in the design, manufacturing, certification, and integration of advanced aerospace solutions, with over 33 years of experience and a portfolio of more than 1,000 products. Founded in 1990 in Woodland, Washington, the company specializes in air medical interiors and equipment, ballistic protection systems, custom aircraft interiors, and advanced materials for aerospace applications.

LifePort's flagship product, the Patient Loading Utility System (PLUS), enhances air medical transport by ensuring safe loading and transport of patients in aircraft. The company offers a range of products, including medical interiors for air ambulances, protective systems for various vehicles against ballistic threats, and custom cabinetry and seating for aircraft. LifePort is committed to quality, holding ISO9001:2015 and AS9100D certifications, which demonstrate its adherence to international standards for quality management. The company serves a diverse clientele, including aerospace OEMs, air ambulance operators, law enforcement agencies, and military branches.",1990,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6931bfe3c9ebd40001095bae/picture,,,,,,,,,,,,,,,,
Lubriplate Lubricants Company,Lubriplate Lubricants Company,72,chemicals,http://www.lubriplate.com,http://www.linkedin.com/company/lubriplate-lubricants-co-,https://facebook.com/lubriplate,https://twitter.com/LubriplateLubes,,,,,,,"nsf h1 registered food grade lubricants, synthetic lubricants, industrial lubricants, air compressor oils, hydraulic oils, ecofriendly lubricants, gear, bearing & recirculating oils, industrial & food grade greases, high temperature chain oils, chemical manufacturing, biodegradable hydraulic fluids, high-performance lubricants, food grade lubricants, industrial equipment, safety data sheets (sds), low temperature greases, high temperature synthetic oils, automatic lubricators, food processing, polyalphaolefin (pao) oils, b2b, manufacturing, multi-purpose greases, anti-wear gear oils, distribution, extended drain interval oils, hydraulic fluids, refrigeration compressor oil, fluid and grease analysis, vacuum pump lubricants, environmental lubricants, all other fabricated metal product manufacturing, services, plant surveys, nsf h1 registered, marine lubricants, nsf food-grade registrations, corrosion resistant greases, lubrication maintenance software, biodegradable lubricants, metalworking fluids, polyolester (poe) oils, reach/rohs/pops compliant, food machinery grade lubricants, gear oils, diester-based synthetic oils, technical support, iso-9001 certified, e-commerce, biodegradable pge oils, vgp compliant lubricants, water demulsible oils, refrigeration oil, synthetic oils, spray lubricants, zinc-free lubricants, chemicals, food & beverages, consumer goods, consumers, mechanical or industrial engineering, consumer internet, internet, information technology & services",+1 419-691-2491,"Amazon CloudFront, Salesforce, Mimecast, Amazon Elastic Load Balancer, Microsoft Office 365, Amazon AWS, Google Maps (Non Paid Users), Google translate API, Mobile Friendly, Google Analytics, Google Font API, Google Maps, Google translate widget, DoubleClick, Microsoft-IIS, reCAPTCHA, DoubleClick Conversion, Google Tag Manager, ShareThis, ASP.NET, Multilingual, Google Dynamic Remarketing, Bootstrap Framework, Remote",,,,,19988000,,68c19ef153185b0001bac55f,2999,33299,"Lubriplate Lubricants Co. is the oldest independent lubricant manufacturer in the United States, founded in 1870. The company operates under the trade name Lubriplate and is privately owned, with its headquarters in Newark, New Jersey, and a manufacturing facility in Toledo, Ohio. Lubriplate specializes in a wide range of lubricants, including industrial, automotive, marine, recreational, and household products.

The company is known for its high-quality lubricants, including synthetic, long-life, and petroleum-based options. Lubriplate also produces NSF H1 registered food-grade lubricants that meet strict safety standards. With a commitment to quality management, Lubriplate is ISO-9001 registered and has a strong reputation for durability and effectiveness in preventing rust and wear. Their diverse customer base includes industrial manufacturers, automotive service providers, and household consumers.",1870,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/692fcf18b66d780001265641/picture,,,,,,,,,,,,,,,,
MA Ford,MA Ford,150,machinery,http://www.maford.com,http://www.linkedin.com/company/ma-ford-mfg-co,https://www.facebook.com/mafordeurope/,https://twitter.com/MAFORD_Europe,,,,,,,"high performance & standard drills, high performance & general purpose end mills, reamers, countersinks, burs, diamond grind routers, custom tools, machinery manufacturing, industrial cutting tools, tool material conversion, speed and feed data, industrial equipment & tools, product training, tool coatings, x-al and xr-al series, aerospace, machining solutions, custom cutting tools, cnc machining, manufacturing, b2b, distributors, high helix end mills, micro-stop countersinks, application definitions, tool selector, truesize reamers, chipbreaker end mills, tuffcut xt series, end mills, machinery, ceraedge coated end mills, high performance end mills, carbide tools, manufacturing tools, drills, all other fabricated metal product manufacturing, carbide end mills, tool reconditioning, machining tools, tooling solutions, iso certification, high performance tools, tolerance charts, micro end mills, e-commerce, iso certified, necked relief end mills, cam tool library, automotive, cyclone drills, industrial, cutting tools, high performance, carbide, distributor network, reconditioning, application solutions, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",+1 800-553-8024,"Constant Contact, Outlook, Microsoft Office 365, Amazon AWS, ElasticEmail, Gmail, Google Apps, ASP.NET, YouTube, Mobile Friendly, Google Tag Manager, Typekit, Microsoft-IIS, Google Analytics, reCAPTCHA, Remote, Domo, Sisense, KNIME",,,,,16000000,,68c19ef153185b0001bac56a,3560,33299,"M.A. Ford Mfg Co is a leading manufacturer of high-performance carbide cutting tools, established in 1919. The company has grown from a small rotary file maker to a prominent supplier for various industries, including aerospace, automotive, and medical sectors worldwide.

The company offers a wide range of products, featuring thousands of standard cutting tools and custom-engineered solutions developed through its Custom Tool Divisions in the US and UK. These tools are designed to enhance performance and efficiency in machining processes. M.A. Ford operates globally, with manufacturing, research, and sales facilities in North America, Europe, and Asia, drawing on over 98 years of industry expertise. 

Headquartered in Davenport, Iowa, M.A. Ford employs around 276 people and generates approximately $53 million in revenue. The leadership team includes CEO Steve Morency and President Bob Hill, among others.",1919,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6935d5c383a2a20001112ad8/picture,,,,,,,,,,,,,,,,
Magnum,Magnum,910,photography,http://www.magnumphotos.com,http://www.linkedin.com/company/magnum-photos,https://facebook.com/MagnumPhotos,https://twitter.com/magnumphotos,,,,,,,"photography, licensing, assignments, print sales, content marketing, digital publishing, exhibitions, books, photo documentation, photo rights, media & publishing, photojournalistic work, photo project support, photography & photographic services, photo archive, online learning, web search portals, libraries, archives, and other information services, photo licensing services, photo sales, photojournalism history, photo archive management, photojournalism, photo collection, image licensing, visual storytelling, photo agency services, photo storytelling projects, photo licensing agreements, photo exhibitions, photo community support, photo licensing & distribution, photo agency, b2b, photo distribution, media licensing, photo agency collaborations, arts & culture, photo exhibition programs, photo storytelling, documentary, photo projects, documentary photography, services, photo community, photojournalists, photo licensing, photo library, photo rights management, photo licensing platform, art exhibitions, online courses, workshops, photographers, limited edition prints, fine art, cultural narratives, street photography, image archives, photographic storytelling, creative education, photo society, magnum cooperative, iconic images, photobook publishing, alive with images, cultural heritage, global perspectives, landscape photography, history of photography, curated collections, image commissions, emerging photographers, personal narratives, interactive workshops, artistic practice, photography mentorship, photography fairs, creative projects, artistic expression, cultural events, social issues, human rights, creative exploration, ethnographic photography, historical documentation, capture reality, artist legacy, visual ethics, artistic collaboration, education, distribution, marketing & advertising, media, e-learning, internet, information technology & services, computer software, education management",+1 212-929-6000,"Route 53, Gmail, Google Apps, Amazon AWS, Rackspace, FedEx, Magento",,,,,4387000,,68c19ef153185b0001bac572,2741,519,"Magnum Photos is a prestigious photographic cooperative founded in 1947 by renowned photographers including Robert Capa and Henri Cartier-Bresson. It is recognized as one of the leading picture agencies, specializing in documentary and photojournalistic work that captures significant historical and cultural moments.

The cooperative's mission is to protect photographic authorship and provide photographers with the freedom to pursue their vision. Members retain full copyright of their images, ensuring creative control and ethical representation. Magnum supports a diverse roster of international photographers who cover a wide range of subjects, including war, politics, culture, and social issues. The agency maintains an extensive archive of iconic images and offers photographic prints, books, exhibitions, and licensing for editorial and commercial use.

Magnum Photos serves a global clientele, including media organizations, publishers, museums, galleries, and private collectors. Its commitment to authentic visual storytelling and artistic excellence makes it a sought-after source for impactful documentary photography.",1947,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69355b3e83a2a200010f7379/picture,,,,,,,,,,,,,,,,
Magtech Ammunition Co. Inc.,Magtech Ammunition,7,investment management,http://www.magtechammunition.com,http://www.linkedin.com/company/magtech-ammunition,https://facebook.com/pages/Magtech-Ammunition/860903947254993,https://twitter.com/magtechammo,,,,,,,,+1 763-235-4000,"Outlook, Microsoft Azure Hosting, Apache, Mobile Friendly, WordPress.org, Ubuntu, reCAPTCHA, Google Tag Manager",,,,,8709000,,68c19ef153185b0001bac574,,,"Magtech Ammunition is an Investment Management company located in 6845 20th Ave S, Hugo, Minnesota, United States.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,,,
Manta Defense / Mantarails,Manta Defense,1,,http://www.mantadefense.com,http://www.linkedin.com/company/manta-defense,,,,,,,,,,+1 330-308-6360,"Rackspace Email, MailChimp SPF, Google Cloud Hosting, reCAPTCHA, WordPress.org, Google Font API, Mobile Friendly, Facebook Custom Audiences, Facebook Login (Connect), Google Analytics, Woo Commerce, YouTube, Facebook Widget, Google Maps, Gravity Forms, Google Tag Manager, Render",,,,,,,68c19ef153185b0001bac579,,,"Manta Defense is a company based out of NEW PHILADELPHIA, OHIO, United States.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/675fc4ab4252c100019b8814/picture,,,,,,,,,,,,,,,,
Medef,Medef,21,defense & space,http://www.medefence.net,http://www.linkedin.com/company/medef-savunma-medef-defence,https://www.facebook.com/medef.defence/,,,,,,,,"defense & space manufacturing, ammunition safety, customer service, ammunition components, e-commerce, industry leadership, firearm components, components for ammunition, industry innovation, all other fabricated metal product manufacturing, government, quality control, military supplies, international trade, gun ammunition, quality testing, ammunition production, turkey, export logistics, technological advancement, gun industry, laboratory quality control, firearm ammunition, civil use ammunition, ammunition for military and law enforcement, b2b, centerfire ammunition, civilian ammunition, industry leadership in turkey, pistol ammunition, laboratory testing, state-of-the-art machinery, defense industry, product innovation, high-quality ammunition, timely delivery, manufacturing, export, precision manufacturing, firearms and ammunition, ammunition manufacturing, customer satisfaction, quality assurance, turkey ammunition manufacturer, law enforcement ammunition, product catalog, military ammunition, rifle ammunition, product development, proof shooting, shotshells, supply chain management, law enforcement supplies, industry standards, export to many countries, exported ammunition, growth strategy, international clients, distribution, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering, international trade & development, logistics & supply chain",+90 392 235 8007,"Gmail, Google Apps, Google Font API, YouTube, Mobile Friendly, WordPress.org",,,,,,,68c19ef153185b0001bac598,3699,33299,"The story began in 1981 with the pioneer AVCI brand and has been producing high-quality shotshells for hunting and shooting desires for more than 40 years.

In 2017, our passion for investing, improving, and innovating triggered us to combine our expertise with state-of-the-art technology and engineering to establish MEDEF SAVUNMASANAYI VE DIŞ. TİC. A.Ş is also known as MEDEF Defenseman.

A wide range of products are exported to many industrial countries, contributing to the needs of military, law enforcement, and commercial markets. Considered one of Turkey's leading ammunition manufacturers, MEDEF DEFENCE has built its reputation for delivering innovative ammunition products, providing top-shelf customer service, and demonstrating industry leadership.

MEDEF DEFENCE believes success always comes with precision, innovation, and perfection as our key values.

The dynamism of our company comes from a customer-oriented commercial strategy. Our customers are at the center of all our goals and strategies.

Therefore, our activities are structured by focusing on the needs and satisfaction of our customers. Regarding our customer-oriented commercial strategy, we have established MEDEFUSA LLC in 2021 to improve operation service and quality and create a sustainable supply chain between our customers added DEFENCE Turkey. We will continue to grow with the same passion and creativity as we have in the past.",1983,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/670c514f49941700018996fe/picture,,,,,,,,,,,,,,,,
Mercury Tactical Gear,Mercury Tactical Gear,,,http://www.mercurytacticalgear.com,,,,,,,,,,,,,,,,,,,68c19ef153185b0001bac5a0,,,,,,,,,,,,,,,,,,,,,
MicroTek Finishing,MicroTek Finishing,21,aviation & aerospace,http://www.mmptechnology.com,http://www.linkedin.com/company/microtek-finishing,https://www.facebook.com/MMPTechnology/,https://twitter.com/MMPtechnology,,,,,,,"superfinishing, advanced superfinishing, polishing, gas turbine engine finishing, medical implant finishing, edge honning for cutting tools, micro machining, surface finishing, gear finishing, aviation & aerospace component manufacturing, industrial equipment, manufacturing, controlled roughness removal, coating, engraving, heat treating, and allied activities, services, surface roughness filtration, additive layer finishing, micro-machining on complex geometries, homogeneous surface finish, industrial process, alloy compatibility, micro-cavities for oil retention, micro-machining, aerospace and space, additive manufacturing, reproducibility, micro-honing, b2b, mmp technology, medical devices, recast layer removal, traceability, micro-roughness control, energy, cost control, quality certifications, motorsports, super-finishing process, selective wavelength filtration, aerospace, distribution, mechanical or industrial engineering, hospital & health care",+1 513-766-5600,"Outlook, Amazon AWS, Mobile Friendly, Google Maps, Google Tag Manager, Shutterstock, Gravity Forms, WordPress.org, Google Font API, Google Maps (Non Paid Users)",,,,,,,68c19ef253185b0001bac5ad,3399,33281,"MicroTek Finishing's Micro-Machining Process (MMP) is the only surface-finishing technology of its kind in the world. Whether your goal is a specific reduction in surface roughness (i.e., an engineered surface) or a highly consistent aesthetic result (i.e., a mirror-like finish), MMP produces perfectly controlled surface states through an industrial process that is both repeatable and traceable across a wide range of materials. MicroTek Finishing's MMP is unique in its ability to selectively remove specific components of roughness evenly across the entire surface of the part. Please feel free to contact us to discuss your Advanced Superfinishing needs.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6937bb28700822000118d804/picture,,,,,,,,,,,,,,,,
Midwest Shooting Center Franchising,Midwest Shooting Center Franchising,51,recreational facilities & services,http://www.midwestshootingcenter.com,http://www.linkedin.com/company/midwest-shooting-center,https://www.facebook.com/MidwestShootingCenter,,,,,,,,"ccw training, corporate events, corporate memberships, private training, memberships, classes, professional training, shooting range, recreational facilities, indoor shooting range, franchise opportunities, firearms & ammunition, firearms industry, event hosting, training classes, range safety, retail inventory, range membership, community safety, shooting sports, professional instructors, gun safety education, membership benefits, firearm accessories, retail, special event packages, retail firearms, gunsmith services, private parties, firearms range, self-defense training, firearms training, membership discounts, firearm rentals, customer experience, indoor range, online shop, personalized training, range equipment, small group classes, community-oriented, online reservations, recreation & leisure, services, b2c, training & education, training curriculum, membership program, range reservations, gun maintenance, state-of-the-art facilities, all other amusement and recreation industries, range safety rules, d2c, e-commerce, education, consumer products & retail, events services, facilities services, consumer internet, consumers, internet, information technology & services",+1 214-748-3647,"Outlook, Microsoft Office 365, GoDaddy Hosting, Amazon AWS, Apache, Active Campaign, YouTube, Mobile Friendly, Google Tag Manager, Google Maps, Google Maps (Non Paid Users), Render, Remote",2295000,Other,2295000,2020-10-01,,,68c19ef253185b0001bac5b2,7999,71399,"Midwest Shooting Center is an indoor shooting range and retail center located in Cridersville, Ohio. Founded in 2016 and operating since 2019, it features modern facilities designed for both beginners and experienced shooters. The center emphasizes safety, education, and customer service, creating a welcoming environment for all firearms enthusiasts.

The company offers a variety of services, including a 24-lane indoor shooting range with advanced technology, firearms training for various skill levels, and a large retail department with a wide selection of firearms and accessories. Additional services include custom gunsmithing, firearm rentals, and exclusive membership programs that provide access to a members-only lounge. As the first indoor shooting range-retail franchise in the U.S., Midwest Shooting Center supports franchisees with a proven business model and comprehensive resources. The company has been recognized for its rapid growth, ranking on the 2024 Inc. 5000 list of America’s fastest-growing private companies.",2019,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6935589a83c85b000146aa29/picture,,,,,,,,,,,,,,,,
Mile High Shooting Accessories,Mile High Shooting Accessories,15,retail,http://www.milehighshooting.com,http://www.linkedin.com/company/mile-high-shooting,https://www.facebook.com/MileHighShootingAccessories,https://twitter.com/MileHighShootin,,,,,,,"distributor for accuracy international & usa distributor for spuhr & law enforcement distributor, b2b, long-range shooting, military equipment and supplies, retail, oem support, government, accuracy international support, precision rifles, firearm accessories, specialty firearm components, support center, long-range shooting gear, sniper systems, extreme long-range rifles, sniper rifle certification, spuhr scope mounts, certification, precision shooting, optics, sniper rifles, long-range rifles, certified armorers, custom rifle chassis, oem parts supply, distributor, service support, sniper rifle systems, e-commerce, firearm support, military-grade equipment, spuhr mounts, sporting goods and recreational equipment, oem service, rifle components, custom machining, law enforcement equipment and supplies, oem parts, firearms and ammunition manufacturing, ammunition, machine shop support, accuracy international, services, firearms, military sniper equipment, suppressors, wholesale trade, all other fabricated metal product manufacturing, precision rifle accessories, training, law_enforcement, military, precision_shooting, sniper_rifles, oem_support, certified_service_center, long_range, specialty_components, consumer internet, consumers, internet, information technology & services",+1 303-255-9999,"Cloudflare DNS, Sendgrid, Gmail, Google Apps, CloudFlare Hosting, BigCommerce, Leadfeeder, ThreatMetrix, Mobile Friendly, reCAPTCHA, Google Analytics, YouTube, AvantMetrics, Google translate API, Klaviyo, Google translate widget, Google Font API, Google Tag Manager, Render, Reviews, Remote, AI",,,,,8045000,,68c19ef253185b0001bac5b7,5099,33299,"Mile High Shooting Accessories (MHSA) is one of the leading Law Enforcement Distributors in the nation, and we are the Exclusive LE Distributor for Accuracy International in the USA. MHSA is your one-stop shop for all of your precision shooting needs: Sniper Rifles, Firearms, Optics, Night Vision, Class III, Ammunition and on-site Precision Gunsmithing services. 
We have over 30 years in the Retail and Law Enforcement Industry and pride ourselves on our excellent customer service. There are over 500 U.S. Local, State and Federal Departments that have put their trust with Mile High Shooting Accessories and continue to count on us for support. Please contact us today and let us serve you!",2003,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/6930235b7933ec00018ea8cf/picture,,,,,,,,,,,,,,,,
Milfort,Milfort,23,mechanical or industrial engineering,http://www.milfortshop.com,http://www.linkedin.com/company/milfort,https://www.facebook.com/milforttacticaladvanced/,,,,,,,,"manufacturing, portas de seguridad, accesorios tácticos, cinturones multipropósito para fuerzas especiales, polímeros de alta resistencia para seguridad, discos de acople rápido, accesorios para operaciones tácticas, ganchos de sujeción para polímeros, polímeros de alta ingeniería, accesorios de ajuste ajustables, polímeros de alta resistencia, accesorios de polímero, b2b, materiales resistentes, distribution, equipamiento policial y militar, government, equipamiento policial avanzado, accesorios de polímero para fuerzas especiales, holsters nivel iii, polímeros de ingeniería, seguridad en operaciones, holsters tácticos, accesorios de polímero de alta resistencia, discos de acople rápido para polímeros, all other fabricated metal product manufacturing, equipamiento antimotines, holsters nivel ii y iii, equipamiento para fuerzas especiales, polímeros inyectados, accesorios de ajuste, cinturones multipropósito, ganchos de sujeción, porta pistolas, seguridad táctica, e-commerce, equipamiento policial, retail, accesorios de polímero para seguridad, mechanical or industrial engineering, consumer internet, consumers, internet, information technology & services",,"Mobile Friendly, Shopify",,,,,,,68c19ef253185b0001bac5b8,3699,33299,"MILFORT es el resultado de más de 25 años de experiencia en la inyección de polímeros de alta ingeniería. Hoy en día esta compañía es la mayor fabricante de Holsters (portas) y accesorios para la industria.

Desde su fundación, el equipo MILFORT se ha concentrado en el desarrollo de productos de vanguardia, manteniendo una constante investigación y desarrollo que permite perfeccionar cada detalle para ofrecer productos únicos en su clase. Altos estándares de calidad son aplicados en todos sus procesos productivos, otorgándole a la marca un reconocimiento ante las unidades de élite del ejército colombiano, fuerzas policiales y fuerzas armadas de comunidad internacional.",2009,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66f3e99170850000017ae47e/picture,,,,,,,,,,,,,,,,
Mistral Group,Mistral Group,63,defense & space,http://www.mistralinc.com,http://www.linkedin.com/company/the-mistral-group,,,,,,,,,"defense & space manufacturing, all other fabricated metal product manufacturing, indirect fires, public safety & emergency response, blast-resistant trash receptacles, high readiness solutions, military solutions, defense industry, explosive storage vessels, system integration, public safety technology, robotics and autonomous systems, electronics & instrumentation, mission-critical solutions, trace detection kits, metal fabrication, tactical tools, situational awareness, modular communication shelters, blast management, explosive containment equipment, public safety equipment, manufacturing, electronic communication systems, public safety, explosive containment, supply chain management, semi-confined explosive containment, government, eod transport vessels, advanced systems, underwater navigation systems, counter uav, defense & security, aerospace & defense, doppler radar movement detection, custom blast chambers, b2b, survivability technology, custom manufacturing, test kits, services, electromagnetic interference shielding, gas-tight containment vessels, c4isr sensors, uav solutions, consulting, distribution, transportation & logistics, mechanical or industrial engineering, logistics & supply chain",+1 301-913-9366,"Outlook, Microsoft Office 365, WordPress.org, Mobile Friendly, Google Tag Manager, Apache, Remote",,,,,29795000,,68c19ef253185b0001bac5c8,3531,33299,"Mistral Group is a consortium of independent companies focused on defense, law enforcement, public safety, and industrial markets. Key member Mistral Inc. has over 34 years of experience providing solutions to military and law enforcement agencies in North America. The company operates a secure production facility in Maryland, offering services that include research and development, manufacturing, assembly, integration, and testing. Mistral Inc. is a woman-owned small business certified to ISO 9001:2015 quality standards.

Mistral Inc. delivers advanced systems and products tailored to military and public safety needs. Their capabilities encompass complex manufacturing, in-house fabrication, and robust supply chain management. The company offers specialized products such as blast management systems, communication shelters, counter-UAV technologies, and C4ISR sensors. The broader Mistral Group also markets aerosol drug testing kits for law enforcement, enabling rapid detection of substances. Mistral Inc. serves a diverse client base, including federal, state, and local law enforcement agencies, as well as defense organizations across North America.",1988,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69352e6a7ee5e00001f93e49/picture,,,,,,,,,,,,,,,,
Mitchell Defense,Mitchell Defense,,,http://www.mitchelldefense.com,,,,,,,,,,,,,,,,,,,68c19ef253185b0001bac5c9,,,,,,,,,,,,,,,,,,,,,
Mocean Tactical,Mocean Tactical,0,,http://www.moceantactical.com,http://www.linkedin.com/company/crossport-mocean,,,,,,,,,,+1 336-582-0757,"Google Analytics, Active Campaign, Google Tag Manager, Shopify, Mobile Friendly, Render",,,,,,,68c19ef253185b0001bac5d3,,,"MOCEAN is a manufacturer of police, security, EMT and mountain bike patrol uniforms for professionals who work routinely in unpredictable weather.",,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/63edac0a998f12000100b12d/picture,,,,,,,,,,,,,,,,
Mongoose TM,Mongoose TM,5,marketing & advertising,http://www.mongoose.com,http://www.linkedin.com/company/mongoose-bicycles,https://www.facebook.com/MongooseBikes,https://twitter.com/mongoose,,,,,,,"advertising services, sporting goods manufacturing, sporting and athletic goods manufacturing, bike customization, freestyle bikes, mountain bikes, stem exhibit with usa bmx, b2c, hardtail mountain bikes, trail bikes, retail - bicycle and sporting goods, off-road bikes, biking trail tips, kids bikes, bmx tricks, bmx legacy, bmx race bikes, bike assembly guides, bike accessories, e-commerce, bmx bikes, performance bikes, bike frames, full suspension mountain bikes, d2c, bike safety, bike components, fat bikes, bicycle manufacturing, retail, manufacturing, distribution, consumer products & retail, marketing & advertising, consumer internet, consumers, internet, information technology & services, mechanical or industrial engineering",+1 800-626-2811,"Cloudflare DNS, Mailchimp Mandrill, Outlook, MailChimp SPF, Microsoft Office 365, Zendesk, CloudFlare Hosting, Affirm, GRIN, Shopify, Google Dynamic Remarketing, Facebook Login (Connect), YouTube, Mobile Friendly, DoubleClick Conversion, Facebook Widget, Google Font API, Adobe Media Optimizer, Google Analytics, Cedexis Radar, DoubleClick, Google Tag Manager, Vimeo, Typekit, Facebook Custom Audiences, CrazyEgg, Hotjar, Wordpress.com, Nginx, Quantcast, WordPress.org, Remote",,,,,4420000,,68c19ef253185b0001bac5da,3751,33992,Mongoose designs and manufactures mountain and pavement bikes.,1974,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/66e85b191dab140001cd5fbe/picture,,,,,,,,,,,,,,,,
Mt Billy Gun Lab,Mt Billy Gun Lab,4700,law enforcement,http://www.sdsheriff.gov,http://www.linkedin.com/company/san-diego-county-sheriff,,,,,,,,,"law enforcement, search, rescue, detentions, court security, detention management, crime analysis unit, civil office locations, civil process service, public safety, community safety, community engagement, community outreach, reentry services, prison suicides prevention, safe task force, special enforcement detail, civil process warrants, county jails management, government, jail population report, crime laboratory, civil process fees, civil file status, mental health in jails, bomb/arson unit, public safety services, county sheriff, gang division, county jails, civil process forms, civil process system, patrol stations, other justice, public order, and safety activities, civil process locations, tribal services, jail services, jail management, law enforcement bureau, community policing, k-9 unit, warrant lookup, criminal justice, law enforcement support, criminal division, traffic and parking enforcement, prison rape elimination act, civil forms, civil fees, community programs, criminal investigation units, investigations, services, warrants, tribal lands patrol, special investigations division, detention services, detention facilities, civil process, criminal investigation",+1 858-974-2222,"AT&T DNS, Amazon SES, Outlook, Microsoft Office 365, F5 BIG-IP, Vimeo, Google Font API, Adobe Media Optimizer, Multilingual, Bootstrap Framework, SOASTA, Cedexis Radar, ASP.NET, Google translate widget, Google Tag Manager, Mobile Friendly, Google translate API, YouTube, Google Analytics",,,,,1374767000,,68c19ef253185b0001bac5ef,9221,92219,"The San Diego County Sheriff's Office (SDSO) is a major law enforcement agency serving San Diego County, California, since 1850. It is the largest sheriff's office in the county and one of the largest in the United States, employing over 4,200 personnel with an annual budget exceeding $1.3 billion. The SDSO operates across more than 4,500 square miles, including a 60-mile international border.

The SDSO provides a wide range of law enforcement and public safety services, primarily to unincorporated areas of the county and through contracts with nine incorporated cities. Its organizational structure includes five main service bureaus: Law Enforcement Services, Detention Facility Services, Court Services, Human Resource Services, and Management Services. The office also manages multiple jails and detention centers, offers courtroom security, and has specialized units for air support, search and rescue, and tactical operations. The current Sheriff, Kelly Martinez, took office in 2023.",1850,https://zenprospect-production.s3.amazonaws.com/uploads/pictures/69353dab927c4700017310bc/picture,,,,,,,,,,,,,,,,
